TITLE = "B00008"
VARIABLES = "x", "y", "Length of RMS V"
ZONE T="Frame 1" I=85, J=164, F=POINT
-7.237510 50.690701 0.000000
-6.922160 50.690701 0.000000
-6.606810 50.690701 0.000000
-6.291460 50.690701 0.000000
-5.976110 50.690701 0.000000
-5.660760 50.690701 0.000000
-5.345410 50.690701 0.000000
-5.030060 50.690701 0.000000
-4.714710 50.690701 0.000000
-4.399360 50.690701 0.000000
-4.084010 50.690701 0.000000
-3.768660 50.690701 0.000000
-3.453310 50.690701 0.000000
-3.137960 50.690701 0.000000
-2.822610 50.690701 0.000000
-2.507260 50.690701 0.000000
-2.191910 50.690701 0.000000
-1.876560 50.690701 0.000000
-1.561210 50.690701 0.000000
-1.245860 50.690701 0.000000
-0.930510 50.690701 0.000000
-0.615160 50.690701 0.000000
-0.299810 50.690701 0.000000
0.015540 50.690701 0.000000
0.330890 50.690701 0.000000
0.646240 50.690701 0.000000
0.961589 50.690701 0.000000
1.276940 50.690701 0.000000
1.592289 50.690701 0.000000
1.907640 50.690701 0.000000
2.222990 50.690701 0.000000
2.538340 50.690701 0.000000
2.853690 50.690701 0.000000
3.169039 50.690701 0.000000
3.484390 50.690701 0.000000
3.799739 50.690701 0.000000
4.115090 50.690701 0.000000
4.430439 50.690701 0.000000
4.745790 50.690701 0.000000
5.061140 50.690701 0.000000
5.376490 50.690701 0.000000
5.691840 50.690701 0.000000
6.007189 50.690701 0.000000
6.322540 50.690701 0.000000
6.637889 50.690701 0.000000
6.953240 50.690701 0.000000
7.268589 50.690701 0.000000
7.583940 50.690701 0.000000
7.899290 50.690701 0.000000
8.214640 50.690701 0.000000
8.529989 50.690701 0.000000
8.845339 50.690701 0.000000
9.160688 50.690701 0.000000
9.476040 50.690701 0.000000
9.791389 50.690701 0.000000
10.106739 50.690701 0.000000
10.422089 50.690701 0.000000
10.737438 50.690701 0.000000
11.052790 50.690701 0.000000
11.368139 50.690701 0.000000
11.683489 50.690701 0.000000
11.998838 50.690701 0.000000
12.314190 50.690701 0.000000
12.629539 50.690701 0.000000
12.944889 50.690701 0.000000
13.260239 50.690701 0.000000
13.575588 50.690701 0.000000
13.890940 50.690701 0.000000
14.206289 50.690701 0.000000
14.521639 50.690701 0.000000
14.836988 50.690701 0.000000
15.152340 50.690701 0.000000
15.467690 50.690701 0.000000
15.783039 50.690701 0.000000
16.098389 50.690701 0.000000
16.413738 50.690701 0.000000
16.729090 50.690701 0.000000
17.044439 50.690701 0.000000
17.359789 50.690701 0.000000
17.675138 50.690701 0.000000
17.990490 50.690701 0.000000
18.305840 50.690701 0.000000
18.621189 50.690701 0.000000
18.936539 50.690701 0.000000
19.251888 50.690701 0.000000
-7.237510 50.375351 0.000000
-6.922160 50.375351 0.000000
-6.606810 50.375351 0.000000
-6.291460 50.375351 0.000000
-5.976110 50.375351 0.000000
-5.660760 50.375351 0.000000
-5.345410 50.375351 0.000000
-5.030060 50.375351 0.000000
-4.714710 50.375351 0.000000
-4.399360 50.375351 0.000000
-4.084010 50.375351 0.000000
-3.768660 50.375351 0.000000
-3.453310 50.375351 0.000000
-3.137960 50.375351 0.000000
-2.822610 50.375351 0.000000
-2.507260 50.375351 0.000000
-2.191910 50.375351 0.000000
-1.876560 50.375351 0.000000
-1.561210 50.375351 0.000000
-1.245860 50.375351 0.000000
-0.930510 50.375351 0.000000
-0.615160 50.375351 0.000000
-0.299810 50.375351 0.000000
0.015540 50.375351 0.000000
0.330890 50.375351 0.000000
0.646240 50.375351 0.000000
0.961589 50.375351 0.000000
1.276940 50.375351 0.000000
1.592289 50.375351 0.000000
1.907640 50.375351 0.000000
2.222990 50.375351 0.000000
2.538340 50.375351 0.000000
2.853690 50.375351 0.000000
3.169039 50.375351 0.000000
3.484390 50.375351 0.000000
3.799739 50.375351 0.000000
4.115090 50.375351 0.000000
4.430439 50.375351 0.000000
4.745790 50.375351 0.000000
5.061140 50.375351 0.000000
5.376490 50.375351 0.000000
5.691840 50.375351 0.000000
6.007189 50.375351 0.000000
6.322540 50.375351 0.000000
6.637889 50.375351 0.000000
6.953240 50.375351 0.000000
7.268589 50.375351 0.000000
7.583940 50.375351 0.000000
7.899290 50.375351 0.000000
8.214640 50.375351 0.000000
8.529989 50.375351 0.000000
8.845339 50.375351 0.000000
9.160688 50.375351 0.000000
9.476040 50.375351 0.000000
9.791389 50.375351 0.000000
10.106739 50.375351 0.000000
10.422089 50.375351 0.000000
10.737438 50.375351 0.000000
11.052790 50.375351 0.000000
11.368139 50.375351 0.000000
11.683489 50.375351 0.000000
11.998838 50.375351 0.000000
12.314190 50.375351 0.000000
12.629539 50.375351 0.000000
12.944889 50.375351 0.000000
13.260239 50.375351 0.000000
13.575588 50.375351 3.553257
13.890940 50.375351 0.000000
14.206289 50.375351 0.000000
14.521639 50.375351 0.000000
14.836988 50.375351 0.000000
15.152340 50.375351 3.563566
15.467690 50.375351 11.148317
15.783039 50.375351 7.545549
16.098389 50.375351 5.606324
16.413738 50.375351 8.551133
16.729090 50.375351 6.051799
17.044439 50.375351 5.653713
17.359789 50.375351 5.983840
17.675138 50.375351 5.820968
17.990490 50.375351 7.103572
18.305840 50.375351 7.371272
18.621189 50.375351 7.574016
18.936539 50.375351 8.818933
19.251888 50.375351 0.000000
-7.237510 50.060001 0.000000
-6.922160 50.060001 0.000000
-6.606810 50.060001 0.000000
-6.291460 50.060001 0.000000
-5.976110 50.060001 0.000000
-5.660760 50.060001 0.000000
-5.345410 50.060001 0.000000
-5.030060 50.060001 0.000000
-4.714710 50.060001 0.000000
-4.399360 50.060001 0.000000
-4.084010 50.060001 0.000000
-3.768660 50.060001 0.000000
-3.453310 50.060001 0.000000
-3.137960 50.060001 0.000000
-2.822610 50.060001 0.000000
-2.507260 50.060001 0.000000
-2.191910 50.060001 0.000000
-1.876560 50.060001 0.000000
-1.561210 50.060001 0.000000
-1.245860 50.060001 0.000000
-0.930510 50.060001 0.000000
-0.615160 50.060001 0.000000
-0.299810 50.060001 0.000000
0.015540 50.060001 0.000000
0.330890 50.060001 0.000000
0.646240 50.060001 0.000000
0.961589 50.060001 0.000000
1.276940 50.060001 0.000000
1.592289 50.060001 0.000000
1.907640 50.060001 0.000000
2.222990 50.060001 0.000000
2.538340 50.060001 0.000000
2.853690 50.060001 0.000000
3.169039 50.060001 0.000000
3.484390 50.060001 0.000000
3.799739 50.060001 0.000000
4.115090 50.060001 0.000000
4.430439 50.060001 0.000000
4.745790 50.060001 0.000000
5.061140 50.060001 0.000000
5.376490 50.060001 0.000000
5.691840 50.060001 0.000000
6.007189 50.060001 0.000000
6.322540 50.060001 0.000000
6.637889 50.060001 0.000000
6.953240 50.060001 0.000000
7.268589 50.060001 0.000000
7.583940 50.060001 0.000000
7.899290 50.060001 0.000000
8.214640 50.060001 0.000000
8.529989 50.060001 1.428663
8.845339 50.060001 1.622172
9.160688 50.060001 7.301970
9.476040 50.060001 5.349137
9.791389 50.060001 8.110874
10.106739 50.060001 6.894053
10.422089 50.060001 5.797489
10.737438 50.060001 5.850873
11.052790 50.060001 5.797269
11.368139 50.060001 5.384499
11.683489 50.060001 5.619260
11.998838 50.060001 6.246032
12.314190 50.060001 6.010620
12.629539 50.060001 5.963652
12.944889 50.060001 5.617605
13.260239 50.060001 5.532081
13.575588 50.060001 5.097659
13.890940 50.060001 4.886643
14.206289 50.060001 5.715929
14.521639 50.060001 6.084454
14.836988 50.060001 6.034729
15.152340 50.060001 5.658439
15.467690 50.060001 5.593246
