TITLE = "B00002"
VARIABLES = "x", "y", "Avg Vy"
ZONE T="Frame 1" I=85, J=164, F=POINT
-7.237510 50.690701 0.000000
-6.922160 50.690701 0.000000
-6.606810 50.690701 0.000000
-6.291460 50.690701 0.000000
-5.976110 50.690701 0.000000
-5.660760 50.690701 0.000000
-5.345410 50.690701 0.000000
-5.030060 50.690701 0.000000
-4.714710 50.690701 0.000000
-4.399360 50.690701 0.000000
-4.084010 50.690701 0.000000
-3.768660 50.690701 0.000000
-3.453310 50.690701 0.000000
-3.137960 50.690701 0.000000
-2.822610 50.690701 0.000000
-2.507260 50.690701 0.000000
-2.191910 50.690701 0.000000
-1.876560 50.690701 0.000000
-1.561210 50.690701 0.000000
-1.245860 50.690701 0.000000
-0.930510 50.690701 0.000000
-0.615160 50.690701 0.000000
-0.299810 50.690701 0.000000
0.015540 50.690701 0.000000
0.330890 50.690701 0.000000
0.646240 50.690701 0.000000
0.961589 50.690701 0.000000
1.276940 50.690701 0.000000
1.592289 50.690701 0.000000
1.907640 50.690701 0.000000
2.222990 50.690701 0.000000
2.538340 50.690701 0.000000
2.853690 50.690701 0.000000
3.169039 50.690701 0.000000
3.484390 50.690701 0.000000
3.799739 50.690701 0.000000
4.115090 50.690701 0.000000
4.430439 50.690701 0.000000
4.745790 50.690701 0.000000
5.061140 50.690701 0.000000
5.376490 50.690701 0.000000
5.691840 50.690701 0.000000
6.007189 50.690701 0.000000
6.322540 50.690701 0.000000
6.637889 50.690701 0.000000
6.953240 50.690701 0.000000
7.268589 50.690701 0.000000
7.583940 50.690701 0.000000
7.899290 50.690701 0.000000
8.214640 50.690701 0.000000
8.529989 50.690701 0.000000
8.845339 50.690701 0.000000
9.160688 50.690701 0.000000
9.476040 50.690701 0.000000
9.791389 50.690701 0.000000
10.106739 50.690701 0.000000
10.422089 50.690701 0.000000
10.737438 50.690701 0.000000
11.052790 50.690701 0.000000
11.368139 50.690701 0.000000
11.683489 50.690701 0.000000
11.998838 50.690701 0.000000
12.314190 50.690701 0.000000
12.629539 50.690701 0.000000
12.944889 50.690701 0.000000
13.260239 50.690701 0.000000
13.575588 50.690701 0.000000
13.890940 50.690701 0.000000
14.206289 50.690701 0.000000
14.521639 50.690701 0.000000
14.836988 50.690701 0.000000
15.152340 50.690701 0.000000
15.467690 50.690701 0.000000
15.783039 50.690701 0.000000
16.098389 50.690701 0.000000
16.413738 50.690701 0.000000
16.729090 50.690701 0.000000
17.044439 50.690701 0.000000
17.359789 50.690701 0.000000
17.675138 50.690701 0.000000
17.990490 50.690701 0.000000
18.305840 50.690701 0.000000
18.621189 50.690701 0.000000
18.936539 50.690701 0.000000
19.251888 50.690701 0.000000
-7.237510 50.375351 0.000000
-6.922160 50.375351 0.000000
-6.606810 50.375351 0.000000
-6.291460 50.375351 0.000000
-5.976110 50.375351 0.000000
-5.660760 50.375351 0.000000
-5.345410 50.375351 0.000000
-5.030060 50.375351 0.000000
-4.714710 50.375351 0.000000
-4.399360 50.375351 0.000000
-4.084010 50.375351 0.000000
-3.768660 50.375351 0.000000
-3.453310 50.375351 0.000000
-3.137960 50.375351 0.000000
-2.822610 50.375351 0.000000
-2.507260 50.375351 0.000000
-2.191910 50.375351 0.000000
-1.876560 50.375351 0.000000
-1.561210 50.375351 0.000000
-1.245860 50.375351 0.000000
-0.930510 50.375351 0.000000
-0.615160 50.375351 0.000000
-0.299810 50.375351 0.000000
0.015540 50.375351 0.000000
0.330890 50.375351 0.000000
0.646240 50.375351 0.000000
0.961589 50.375351 0.000000
1.276940 50.375351 0.000000
1.592289 50.375351 0.000000
1.907640 50.375351 0.000000
2.222990 50.375351 0.000000
2.538340 50.375351 0.000000
2.853690 50.375351 0.000000
3.169039 50.375351 0.000000
3.484390 50.375351 0.000000
3.799739 50.375351 0.000000
4.115090 50.375351 0.000000
4.430439 50.375351 0.000000
4.745790 50.375351 0.000000
5.061140 50.375351 0.000000
5.376490 50.375351 0.000000
5.691840 50.375351 0.000000
6.007189 50.375351 0.000000
6.322540 50.375351 0.000000
6.637889 50.375351 0.000000
6.953240 50.375351 0.000000
7.268589 50.375351 0.000000
7.583940 50.375351 0.000000
7.899290 50.375351 0.000000
8.214640 50.375351 0.000000
8.529989 50.375351 0.000000
8.845339 50.375351 0.000000
9.160688 50.375351 0.000000
9.476040 50.375351 4.938055
9.791389 50.375351 1.599454
10.106739 50.375351 1.830976
10.422089 50.375351 -0.756375
10.737438 50.375351 3.330093
11.052790 50.375351 0.000000
11.368139 50.375351 0.000000
11.683489 50.375351 0.000000
11.998838 50.375351 0.000000
12.314190 50.375351 0.000000
12.629539 50.375351 0.000000
12.944889 50.375351 0.000000
13.260239 50.375351 3.768057
13.575588 50.375351 4.150887
13.890940 50.375351 5.737014
14.206289 50.375351 0.000000
14.521639 50.375351 0.000000
14.836988 50.375351 3.187887
15.152340 50.375351 3.517370
15.467690 50.375351 2.622069
15.783039 50.375351 3.383330
16.098389 50.375351 3.756027
16.413738 50.375351 4.093657
16.729090 50.375351 3.182239
17.044439 50.375351 2.911356
17.359789 50.375351 2.990116
17.675138 50.375351 3.016299
17.990490 50.375351 2.810338
18.305840 50.375351 2.972350
18.621189 50.375351 2.869535
18.936539 50.375351 2.546792
19.251888 50.375351 0.000000
-7.237510 50.060001 0.000000
-6.922160 50.060001 0.000000
-6.606810 50.060001 0.000000
-6.291460 50.060001 0.000000
-5.976110 50.060001 0.000000
-5.660760 50.060001 0.000000
-5.345410 50.060001 0.000000
